"SAMPLE_ID","NOMINAL_TAXON","LAT","LON","MORPHOLOGICAL_TAXON","OPERATIONAL_TAXON","INCIPIENT_TAXON","THRESHOLD_TAXON","CYTB","SQCL","ddRAD","ddRAD_SRA","sqcl_SRA","CYTB_genbank"
"QM_64098_Ct_agre","Ctenotus_agrestis",-20.89859763,142.1508977,"Ctenotus_agrestis","Ctenotus_agrestis","Ctenotus_agrestis","Ctenotus_sp39",TRUE,FALSE,FALSE,NA,NA,"KJ504984.1"
"SAMR_65418_Ct_agre","Ctenotus_agrestis",-24.14,143.3392,"Ctenotus_agrestis","Ctenotus_agrestis","Ctenotus_agrestis","Ctenotus_sp39",TRUE,TRUE,TRUE,"SRS2115406","SRR31065728","PQ522633"
"NA_ABTC24115_Ct_alac","Ctenotus_alacer",-23.7407,133.346,"Ctenotus_alacer","Ctenotus_alacer","Ctenotus_alacer","Ctenotus_sp66",TRUE,TRUE,FALSE,NA,"SRR31065901","KJ505250.1"
"NTMR_18324_Ct_alac","Ctenotus_alacer",-23.45,134.683333,"Ctenotus_alacer","Ctenotus_alacer","Ctenotus_alacer","Ctenotus_sp66",TRUE,FALSE,FALSE,NA,NA,"KJ504985.1"
"WAMR_121106_Ct_alle","Ctenotus_alleni",-26.546389,113.963333,"Ctenotus_alleni","Ctenotus_australis",NA,"Ctenotus_sp76",TRUE,TRUE,FALSE,NA,"SRR31065900","KJ504986.1"
"WAMR_130254_Le_allo","Lerista_allochira",-21.8083,114.1019,"Lerista_allochira","Lerista_allochira","Lerista_allochira_V1","Lerista_sp159",TRUE,FALSE,TRUE,"SRS3431798",NA,"PQ522634"
"WAMR_130255_Le_allo","Lerista_allochira",-22.0961,113.9961,"Lerista_allochira","Lerista_allochira","Lerista_allochira_V1","Lerista_sp159",TRUE,TRUE,TRUE,"SRS3431800","SRR31065773","PQ522635"
"WAMR_145199_Le_allo","Lerista_allochira",-22.243,114.0347,"Lerista_allochira","Lerista_allochira","Lerista_allochira_V1","Lerista_sp159",TRUE,FALSE,TRUE,"SRS3431799",NA,"PQ522636"
"NA_ABTC125975_Ct_allo","Ctenotus_allotropis",-21.943185,139.597033,"Ctenotus_allotropis","Ctenotus_allotropis","Ctenotus_allotropis","Ctenotus_sp101",TRUE,TRUE,TRUE,"SRS2115721","SRR31065806","PQ522637"
"SAMAR_55806_Le_amel","Lerista_ameles",-18.12833,144.6328,"Lerista_ameles","Lerista_ameles","Lerista_ameles","Lerista_sp186",TRUE,TRUE,TRUE,"SRR31035065","SRR31065748","PQ522638"
"AMSR_126077_Eu_ampl","Concinnia_ampla",-20.95,148.8,"Concinnia_ampla","Concinnia_ampla","Concinnia_ampla","Concinnia_sp250",FALSE,TRUE,FALSE,NA,"SRR31065686",NA
"NA_ANGUW103931_Ct_angu","Ctenotus_angusticeps",-21.316944,115.166944,"Ctenotus_angusticeps","Ctenotus_angusticeps","Ctenotus_angusticeps","Ctenotus_sp79",TRUE,FALSE,FALSE,NA,NA,"KJ505252.1"
"WAMR_104349_Ct_angu","Ctenotus_angusticeps",-21.333,115.166667,"Ctenotus_angusticeps","Ctenotus_angusticeps","Ctenotus_angusticeps","Ctenotus_sp79",TRUE,TRUE,TRUE,"SRS2115366","SRR31065706","KJ504988.1"
"WAMR_129936_Ct_ania","Ctenotus_ariadnae",-23.25,118.666667,"Ctenotus_ariadnae","Ctenotus_ariadnae",NA,"Ctenotus_sp46",TRUE,FALSE,FALSE,NA,NA,"PQ522639"
"WAMR_114222_Le_apod","Lerista_apoda",-16.4,122.9333,"Lerista_apoda","Lerista_apoda","Lerista_apoda_V1","Lerista_sp190",TRUE,FALSE,TRUE,"SRS3431801",NA,"PQ522640"
"WAMR_114243_Le_apod","Lerista_apoda",-17.3666,122.15,"Lerista_apoda","Lerista_apoda","Lerista_apoda_V1","Lerista_sp190",TRUE,FALSE,TRUE,"SRS3431810",NA,"PQ522641"
"WAMR_168495_Le_apod","Lerista_apoda",-17.5675,122.2169,"Lerista_apoda","Lerista_apoda","Lerista_apoda_V1","Lerista_sp190",TRUE,TRUE,TRUE,"SRS3431807","SRR31065774","PQ522642"
"NA_ARANSP006_Ct_aran","Ctenotus_brooksi",NA,NA,"Ctenotus_brooksi","Ctenotus_taeniatus",NA,"Ctenotus_sp95",TRUE,FALSE,FALSE,NA,NA,"PQ522643"
"QM_63024_Ct_arca","Ctenotus_arcanus",-26.13187717,152.5174588,"Ctenotus_arcanus","Ctenotus_arcanus","Ctenotus_arcanus","Ctenotus_sp36",TRUE,FALSE,FALSE,NA,NA,"KJ504991.1"
"QM_80852_Ct_arca","Ctenotus_arcanus",-21.318,148.5097,"Ctenotus_arcanus","Ctenotus_terrareginae","Ctenotus_terrareginae","Ctenotus_sp37",TRUE,FALSE,FALSE,NA,NA,"KJ505827.1"
"SAMR_55637_Ct_arca","Ctenotus_arcanus",-24.357,150.960556,"Ctenotus_arcanus","Ctenotus_arcanus","Ctenotus_arcanus","Ctenotus_sp36",TRUE,TRUE,TRUE,"SRS2115437","SRR31065672","KJ505253.1"
"SAMR_55638_Ct_arca","Ctenotus_arcanus",-24.357,150.960556,"Ctenotus_arcanus","Ctenotus_arcanus","Ctenotus_arcanus","Ctenotus_sp36",TRUE,FALSE,TRUE,"SRS2115436",NA,"KJ505254.1"
